ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,mh_gspphot,non_single_star
290.69437116261054,-36.79470106387314,0.2284759937597438,0.35924923,-0.8774421342222216,-7.116857496566187,19.585293,20.1823,18.747263,1.4350376,,,,,,0
290.69275969932465,-36.79212068935362,0.293813754690103,0.06868268,-1.3408083074570896,-3.6247499203080915,16.92282,17.607672,16.111755,1.4959164,5365.1377,2342.3423,2325.006,2436.4907,-0.0077,0
290.66853457011007,-36.80249216159152,0.27129876450122065,0.28609005,0.02863633893039097,-22.959435127991924,19.239758,19.977787,18.385881,1.5919056,,,,,,0
290.659022118636,-36.79858874712445,0.5480717782282536,0.4773414,1.833291297746693,-10.19372325039134,19.920286,20.71219,19.174051,1.5381393,,,,,,0
290.66948122062547,-36.793999766356926,0.5024499689811541,0.2521762,0.827024289144036,-7.44301027270742,19.004839,20.054764,18.15266,1.9021034,,,,,,0
290.66693272098684,-36.78823442562211,1.148458796363646,0.015205817,12.482079875005176,-6.74978469312201,11.271058,12.240343,10.302331,1.9380121,,,,,,0
284.3936833755499,-21.782785571053072,0.47706704251522886,0.7243534,-7.323295487749241,-21.8674758525137,19.882996,20.42188,19.42551,0.9963703,,,,,,0
284.397175630599,-21.77876065596148,1.6336673412093454,0.4626723,-2.2951203979692365,-6.3630354970780525,19.540977,20.178082,19.014627,1.163454,,,,,,0
284.4084599281538,-21.78158763360375,0.41666375828913627,0.034500968,-0.6750039859539281,-4.434448890209087,15.379755,15.754382,14.825095,0.92928696,6514.8623,1815.9147,1740.2124,1891.1678,-0.4744,0
284.4002822033173,-21.786796249689,0.42377915491640233,0.20857474,-5.547665665255742,-16.47271535903461,18.521051,19.035694,17.861105,1.1745892,4735.303,1441.0443,1423.5532,1466.325,-3.7473,0
284.404433598636,-21.782242375547348,0.3097817855968378,0.3548939,-5.3194327056343385,-3.877961790556647,19.321173,19.844854,18.767315,1.0775394,,,,,,0
284.4091744491263,-21.7819502529757,0.4306147388495305,0.22465709,0.11387567714385138,-3.115116322136748,18.615387,18.896257,17.655409,1.2408485,,,,,,0
285.5924745500053,-22.547229560498828,0.41782949203062747,0.4300971,3.0139865743580305,-4.848798682179328,19.474842,20.05039,18.790798,1.259592,,,,,,0
285.5938613770895,-22.545667733317075,0.07424741424666845,0.4751164,1.2727990002547611,-0.534232880059308,19.62225,20.11437,19.053122,1.0612488,,,,,,0
285.59356908439554,-22.541956932195585,0.4431285938560069,0.49569237,3.136301950627564,-2.195041187851873,19.639652,20.164515,18.982386,1.1821289,,,,,,0
285.59549051984857,-22.551824435766036,0.6082364474416072,0.05070091,-5.398440467981889,-4.817278142762965,16.136526,16.580427,15.50619,1.0742369,5412.554,981.2228,952.6572,1013.0224,-0.7104,0
236.26022384280938,-49.421105130886815,0.14405884403968555,0.037048735,-0.5620175912799156,-1.2333688991074225,11.926857,14.078776,10.587014,3.4917622,,,,,,0
236.26309989764863,-49.425645713177474,0.31431648394946976,0.14292134,-4.676760623830648,-3.134245814137328,18.082045,19.035198,17.115534,1.9196644,4076.6475,716.4985,651.2691,966.0836,-0.5969,0
236.25043331947185,-49.425489094960284,0.22548173336373906,0.15295672,-2.400797131189597,-4.730932950347462,18.064814,18.877249,17.12718,1.7500687,4399.442,925.0137,836.835,995.5949,-1.7027,0
236.2515800324812,-49.41915752641133,0.4866164393937474,0.43468246,-5.897517099940122,-5.469741656409239,19.48804,,,,,,,,,0
236.24798819875127,-49.416639459004664,0.3783776551936056,0.17421095,-3.5370827070304305,-4.027473471111336,18.343765,19.25315,17.470545,1.7826061,4446.9937,788.7299,719.822,950.2666,-1.5289,0
236.24625335841873,-49.41616845061878,0.24872728500992036,0.51930445,-4.0343921850190405,-3.0822508567958384,19.73811,20.577694,18.63233,1.945364,,,,,,0
236.2482923367993,-49.420608063508475,0.12273651100483796,0.5937532,-3.3850554455742365,-4.056369086907447,19.820839,20.852268,18.754463,2.097805,,,,,,0
236.25457932889833,-49.41839081076997,0.7311168049828457,0.40963933,-4.974432859040068,-2.5276020676650996,19.396132,20.366467,18.390648,1.9758186,,,,,,0
236.2501318936247,-49.42281565888185,0.9009254680918819,0.4028388,6.76549709224385,-5.769371578725375,19.465403,20.425093,18.57752,1.8475723,,,,,,0
236.25225107461912,-49.425488691739304,0.35893983251920586,0.27006394,-5.739203325902802,-5.583025685689837,18.993248,20.061073,18.102869,1.9582043,3733.426,696.0576,618.8945,772.1455,-1.0438,0
118.28762876211562,-53.44422377294562,0.013720107737725817,0.15518278,-2.3729704060328727,5.537245888510624,18.646393,19.11319,18.010363,1.1028271,4784.9487,1663.6965,1609.2686,1736.0931,-2.1886,0
118.29746626089619,-53.444345877603396,1.183241690546585,0.23672266,-1.9310964254563672,21.187892796749097,19.15067,19.85502,18.004984,1.8500366,,,,,,0
118.29844844831526,-53.444230314578995,0.9603439906447959,0.38840607,-4.162640260261622,2.2616493113288074,19.778553,20.172459,18.71261,1.4598484,,,,,,0
118.28904971960095,-53.44251640638107,1.374210620710596,0.011973015,-8.562843954130162,7.3338828884643625,13.465439,13.838412,12.921594,0.9168186,5806.5786,714.0467,707.7536,720.6806,-0.5129,0
118.29534067159733,-53.44393588849415,2.769725632766636,0.038843907,-10.376916294291425,16.934684024656622,13.394554,13.9506235,12.680487,1.2701368,4845.861,364.4667,359.0047,369.6842,-0.3643,0
118.32710988964777,-53.44744274154999,0.34345723447149146,0.29219604,-0.3520249436180103,3.078377087549786,19.605925,20.67654,18.641178,2.0353622,,,,,,0
118.33104991046855,-53.44072130321905,0.16184095888509442,0.106742546,-2.3552369504411477,3.2502660861958566,18.15159,18.552382,17.585016,0.96736526,5157.577,1951.2001,1915.6165,2042.712,-1.7726,0
118.32459930937928,-53.43689126468642,0.25735493822184413,0.12222033,-1.8136319042019555,4.184732370535571,18.338768,18.838078,17.742752,1.0953255,4831.124,1697.1934,1626.9843,1768.54,-1.5214,0
118.31906135697584,-53.440067495018326,0.3218325720152612,0.23918776,-0.3898859924947162,9.262379350176092,19.30223,19.942303,18.416851,1.5254517,,,,,,0
109.70162527386479,-57.20384543896636,1.672207006618047,0.3064973,-6.121513677618909,6.68380953087366,19.723108,21.39331,18.435675,2.9576359,,,,,,0
109.71251388614056,-57.19243441324588,0.7837551297650721,0.33066916,-1.4070277595656218,3.9315680661758408,19.892141,20.87163,18.999119,1.8725109,,,,,,0
109.71658434385638,-57.197142703093576,0.37900796023935013,0.033738445,-0.685058589562319,3.1463594743956294,15.908697,16.248003,15.380714,0.8672886,5992.3965,2744.399,2507.2578,3366.9946,-0.7634,0
109.7432543775726,-57.175746889269945,0.7744559705328216,0.31939718,-2.3478310430979903,5.576894143679356,19.804335,20.349224,19.070644,1.2785797,,,,,,0
109.73936711136997,-57.17656764010653,0.3916150924397094,0.015190667,0.886725753166312,3.2107543830073206,12.952408,13.578469,12.190563,1.3879061,,,,,,0
109.72009652012676,-57.184929289847474,0.28485167013417667,0.2025125,-1.0319189984863042,4.594260251711924,19.196024,19.644419,18.537626,1.1067924,,,,,,0
109.72761237597706,-57.1674835528488,0.3496535674477961,0.23641042,5.224763595508647,-4.488978112446103,19.40243,19.85206,18.842913,1.0091476,,,,,,0
109.76572094745599,-57.170007596932095,0.5703737785764488,0.019694919,-3.875975478742555,1.974505127586197,15.271123,15.616435,14.752057,0.864378,6109.256,1560.5317,1519.2874,1607.8699,-0.7686,0
109.75911095598484,-57.174715589534934,0.7576117555798633,0.016879847,2.64904592922882,6.112976382906877,14.661413,15.056563,14.091692,0.9648714,,,,,,0
259.2603038589485,-22.518626177041536,0.9374708547939248,0.60358864,1.191449920112675,-2.9139998787688164,19.970093,21.118975,19.111155,2.0078201,,,,,,0
259.25530983607916,-22.52052243141444,0.6613909731189413,0.43087336,0.9476756350780173,0.8970232746039507,19.70802,20.601803,18.944965,1.6568375,,,,,,0
259.25564242668867,-22.519848855210018,0.20223219253703556,0.41050258,-5.41426792926447,-1.6629093415328675,19.607904,20.467442,18.69554,1.7719021,,,,,,0
